episode_id,sensor_uid,tmc_code,corridor,link_id,date,period,t0_hour,t2_hour,t3_hour,P_hr,duration_min,threshold_used,min_speed_mph,mean_speed_mph,episode_demand,demand_capacity_ratio,magnitude,road_order,direction,is_clean_valid_episode,corridor_output,tmc,t2_source_method,daily_probe_day_count,daily_probe_t2_min_hour,daily_probe_t2_max_hour,daily_probe_t2_std_hour,screened_acceptance_share,anchor_t2_hour,anchor_source_method,anchor_episode_id,anchor_daily_probe_day_count,anchor_daily_t2_std_hour,anchor_source_reliable
state_transition__I95_NB::110+04157__Weekday__0014,I95_NB::110+04157,110+04157,I95_NB,7.0,Weekday,PM,16.25,17.0,17.75,1.75,105.0,48.0956,44.38478260869565,46.47419254658384,3049.021580581209,1.6047482003058997,0.0836056227653425,673.0,NORTHBOUND,True,I95_NB,110+04157,average_weekday,0,,,,1.0,17.0,average_weekday,state_transition__I95_NB::110+04157__Weekday__0014,0.0,,True
state_transition__I95_NB::110+04158__Weekday__0015,I95_NB::110+04158,110+04158,I95_NB,6.0,Weekday,AM,7.75,8.0,8.75,1.25,75.0,45.864,43.020434782608696,44.82187267080745,2271.8601489396824,1.1957158678629909,0.0660980120670662,675.0,NORTHBOUND,False,I95_NB,110+04158,average_weekday,0,,,,0.0,7.458333333333333,daily_probe_mean,daily_probe_mean__110+04158__AM,6.0,0.9288957004003314,True
daily_probe_mean__110+04158__MD,,110+04158,I95_NB,,DailyMean,MD,9.6875,10.6875,11.4375,2.0,,,35.79,,,,,675.0,NORTHBOUND,False,I95_NB,110+04158,daily_probe_mean,4,9.0,14.75,2.380749619342614,0.25,9.0,daily_probe_mean,daily_probe_mean__110+04158__MD,1.0,0.0,False
daily_probe_mean__110+04158__PM,,110+04158,I95_NB,,DailyMean,PM,15.942307692307692,17.03846153846154,17.692307692307693,2.0,,,33.34230769230769,,,,,675.0,NORTHBOUND,False,I95_NB,110+04158,daily_probe_mean,13,15.25,17.75,0.7195494974565272,0.23076923076923078,17.0,daily_probe_mean,daily_probe_mean__110+04158__PM,3.0,0.0,True
daily_probe_mean__110+04159__AM,,110+04159,I95_NB,,DailyMean,AM,8.083333333333334,8.5,9.333333333333334,1.5,,,22.421666666666667,,,,,676.0,NORTHBOUND,False,I95_NB,110+04159,daily_probe_mean,6,7.75,8.75,0.3818813079129867,0.0,,,,,,False
daily_probe_mean__110+04159__MD,,110+04159,I95_NB,,DailyMean,MD,8.0,9.0,9.75,2.0,,,19.32,,,,,676.0,NORTHBOUND,False,I95_NB,110+04159,daily_probe_mean,1,9.0,9.0,0.0,0.0,,,,,,False
daily_probe_mean__110+04159__PM,,110+04159,I95_NB,,DailyMean,PM,16.5,17.75,19.0,2.75,,,8.2,,,,,676.0,NORTHBOUND,False,I95_NB,110+04159,daily_probe_mean,1,17.75,17.75,0.0,0.0,,,,,,False
daily_probe_mean__110+04163__MD,,110+04163,I66_WB,,DailyMean,MD,12.375,13.375,14.25,2.125,,,33.96,,,,,4.0,WESTBOUND,False,I66_WB,110+04163,daily_probe_mean,2,13.25,13.5,0.125,0.5,13.25,daily_probe_mean,daily_probe_mean__110+04163__MD,1.0,0.0,False
daily_probe_mean__110+04164__MD,,110+04164,I66_WB,,DailyMean,MD,11.5,12.666666666666666,13.75,2.5,,,22.686666666666667,,,,,6.0,WESTBOUND,False,I66_WB,110+04164,daily_probe_mean,3,12.25,13.25,0.42491829279939874,0.6666666666666666,12.875,daily_probe_mean,daily_probe_mean__110+04164__MD,2.0,0.375,False
daily_probe_mean__110+04164__PM,,110+04164,I66_WB,,DailyMean,PM,16.75,17.0,17.25,0.75,,,34.21,,,,,6.0,WESTBOUND,False,I66_WB,110+04164,daily_probe_mean,1,17.0,17.0,0.0,0.0,,,,,,False
